,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
actual_0,545098,312,3341,995,433,38,125,37,624,4446,2510,11894,15,1,0,0,1,40,0,0
actual_1,164,12682,74,33,0,0,1,0,6,6,12,74,0,0,0,0,0,1,0,0
actual_2,5756,83,6992,115,21,0,0,0,5,10,25,109,0,0,0,1,0,3,0,1
actual_3,112,181,62,12145,98,0,0,0,6,10,552,24,7,0,1,0,0,1,0,0
actual_4,4325,29,208,105,7194,2,3,0,21,65,198,550,0,0,0,0,0,1,0,0
actual_5,18,0,0,3,1,12301,131,104,1,0,36,7,0,0,17,0,0,0,0,0
actual_6,145,1,0,18,2,146,12448,122,333,0,60,81,0,0,1,0,0,0,0,0
actual_7,66,0,1,1,1,208,227,11545,419,0,166,148,0,0,27,0,0,0,0,0
actual_8,762,5,5,7,16,11,863,493,10453,9,57,246,0,0,0,0,0,0,0,0
actual_9,2388,7,10,7,3,0,0,0,16,10262,29,52,0,0,0,0,0,2,0,0
actual_10,1059,84,9,908,569,17,21,88,67,48,8265,1083,32,2,671,0,4,0,0,0
actual_11,4317,95,26,471,592,52,77,218,206,109,4430,2635,9,6,99,0,0,0,0,0
actual_12,5730,0,17,114,2,0,3,1,3,23,101,99,6813,0,0,0,0,0,0,0
actual_13,18014,233,77,5,1258,1,3,1,21,160,3,2896,4,16616,0,93,302,1,0,1
actual_14,1,1,0,348,2,73,12,84,0,0,14116,2,0,0,23151,172,0,0,5,0
actual_15,1373,87,15,1016,1365,46,34,138,126,55,16385,1693,41,978,2681,11609,1014,0,0,3
actual_16,2990,72,40,280,1376,30,149,4,163,152,1727,860,8,1301,16,3442,36029,2569,8,987
actual_17,198,1,2,4,28,7,0,6,4,21,61,32,1,0,4,0,8,12582,353,15
actual_18,0,0,0,9,0,9,1,3,0,1,310,0,0,0,125,1,0,4113,21597,33
actual_19,206,13,8,30,17,2,3,3,8,8,252,46,0,11,5,12,65,19337,1762,2959
